name,telefono,email,direccion,codigo_postal,ciudad,web,Ayuda Legal,Empleo,Acogida,Lengua,Vivienda,Atencion Social,Mujeres,Salud,Educación no formal,Otros
Associació Cultural-Educativa i Social-Operativa de Dones Pakistaneses (ACESOP),93 317 15 45 / 647 57 35 83,acesop786@yahoo.es,del Carme 34 pral 1ª,8001,Barcelona,www.acesop.cat,no,sí,sí,sí,sí,sí,sí,sí,no,no
Associació d'Ajuda Mútua d'Immigrants de Catalunya. AMIC-UGT - SAIER,93 256 38 00,amic@associacioamic.cat,Av. Paral·lel 202 Local,8002,Barcelona,www.associacioamic.cat,sí,sí,no,sí,sí,no,no,no,sí,no
Associació d'estudiants marroquins de Barcelona (AEMB),662106842,AHSISSENE@YAHOO.ES,Rambla Prim 250 3 4,8034,,,no,no,no,no,sí,no,no,no,no,no
Associació de Comerciants de Creu Coberta,93 332 17 07,info@creucoberta.com,Callao 9 baixos,8014,Barcelona,www.creucoberta.com,no,no,sí,no,no,sí,no,no,no,no
Associació de Dones No Estàndars (DONNES),93 458 45 97,mcarmeriu@hotmail.com;,Sant Antoni Mª Claret 31 Entresol 1ª,8025,Barcelona,www.donesnoestandards.cat,no,sí,no,sí,no,no,sí,no,no,no
Associació de Treballadors Marroquins a Catalunya (ATIMCA),698351330,atimcabarcelona@gmail.com,Passeig de Sant Joan 26 3 2a,8004,Barcelona,,no,sí,no,no,no,no,no,no,no,no
Associació de Treballadors Pakistanesos de Catalunya,93 304 36 46,atp.cat@gmail.com,Robadors 11 Local,8001,Barcelona,,sí,no,sí,sí,no,no,no,no,no,sí
Associació Enxarxa. Pla Comunitari Besós-Maresme,932564928,enxarxa@enxarxa.org,Rambla Prim 87-89,8019,Barcelona,http://enxarxa.org/,no,no,sí,sí,no,no,no,no,si,no
Associació Exil,93 238 57 60,exilspain@pangea.org,Avinguda República Argentina 6 4t 2a,8023,Barcelona,www.centroexil.org,no,no,sí,no,no,sí,sí,sí,no,no
Associació In via,93 215 56 26,invia@invia.cat,Amistat 15 baixos,8005,Barcelona,http://www.invia.cat/,no,sí,sí,no,no,no,sí,no,no,sí
Associació Iniciatives Solidàries,93 424 14 41,iniciatives@iniciatives.org;,Consell de Cent 140 entresol 1a,8015,Barcelona,www.iniciatives.org,sí,sí,sí,sí,sí,sí,sí,no,no,no
Associació Lectura Fàcil,93 310 76 94,lecturafacil@cobdc.org,Ribera 8 Pral,8003,,www.lecturafacil.net,no,no,no,si,no,no,no,no,no,sí
Associació Martinet Solidari,659 584 107,martinetsolidari@gmail.com,Rambla Prim 64 - 70,8019,Barcelona,https://sites.google.com/site/educacioiparticipacio/martinet-solidari,no,no,sí,sí,no,sí,sí,no,no,no
Associació Mujeres Latinas Sin Fronteras,93 417 02 73,mujereslatinas@hotmail.com,Elisa 23,8023,Barcelona,,no,si,sí,sí,no,no,sí,no,no,sí
Associació Mujeres Pa'lante,93 263 37 65 - 93 312 21 68,mujerespalantebcn@yahoo.es;,Cuba 2 1r oficina 2B,8030,Barcelona,www.mujerespalante.org,sí,sí,sí,sí,sí,no,sí,no,no,sí
Associació Noves Vies,930180850,associacio@novesvies.org,Monistrol 31 baixos,8012,,www.novesvies.org,sí,no,no,no,no,no,no,no,no,no
Associació per a joves TEB,93 442 58 67,info@elteb.org,dels Salvador 6/8 baixos,8001,Barcelona,http://elteb.org/,no,no,no,no,no,no,no,no,no,no
Associació ProHabitatge,93 453 40 19,prohabitatge@prohabitatge.org,Consell de Cent 254 2on 2ª,8011,Barcelona,www.prohabitatge.org,no,sí,sí,no,sí,sí,sí,no,no,sí
Associació Punt de Referència,93 329 74 27,info@puntdereferencia.org;,Sant Antoni Abat 10 3r 1a,8001,Barcelona,www.puntdereferencia.org,no,sí,sí,sí,sí,sí,no,no,no,sí
Associació Romanesa de Catalunya ASOCROM,934239133,secretaria@asocrom.org,Villarroel 10 baixos,8011,,www.asocrom.org,sí,sí,sí,sí,sí,sí,sí,no,no,no
Associació Salut i Família,93 268 36 00/ 93 268 24 53,recepcion@saludyfamilia.es,Via Laietana 40 3 2B,8003,Barcelona,www.saludyfamilia.es,sí,no,sí,no,sí,sí,sí,sí,no,no
Associació Sociocultural La Formiga,93 443 82 07,info@laformiga.org;,Elkano 74 baixos,8004,Barcelona,www.laformiga.org,no,no,no,sí,no,no,sí,no,sí,no
Associació Tècnics en Immigració,93 008 16 04,info@tecnicoseninmigracion.org,Caspe 116 2 3,8010,Barcelona,,sí,sí,sí,no,sí,no,no,no,no,no
Ateneu Montserrat de la Fundació Cultural Hostafrancs,93 4316200,acollidaateneu@joanpelegri.cat,Consell de Cent 14,8014,Barcelona,www.fch.cat,no,no,no,sí,no,no,no,no,no,no
Associació ATLÀNTIDA -Professionals per la Interculturalitat,93 423 42 04,interprofessions@gmail.com,"C/ de la Paloma, 21-21",8002,Barcelona,www.atlantida-migra.org,no,no,no,no,no,no,no,no,no,no
Bona Voluntat en Acció,931926260,social@bonavoluntat.org,Passeig de Montjuïc 70 baixos,8004,Barcelona,www.bonavoluntat.org,no,sí,sí,sí,no,sí,no,no,no,no
CAL - Coordinadora d'Associacions per la Llengua Catalana,934159002,cal@cal.cat,C. Olzinelles 118 baixos,8014,,www.cal.cat,no,no,sí,sí,no,no,no,no,no,no
Càritas Diocesana de Barcelona (Pl. Nova - atenció a tota la ciutat de Bcn),93 3013550,,Plaça Nova 1,8002,Barcelona,www.caritasbcn.org,sí,sí,sí,sí,sí,sí,no,no,no,no
Casa Eslava,627533590,info@casaeslava.com;,,,,,no,no,no,no,no,no,no,no,no,sí
Casal dels Infants per l'acció social als barris,933170013,info@casaldelsinfants.org,Junta de Comerç 16,8001,Barcelona,www.casaldelsinfants.org,sí,sí,sí,sí,no,no,sí,no,sí,sí
CEHDAGHANA,675 845 247,cehdaghana@cehdaghana.org,Vistalegre 15,8001,Barcelona,www.cehdaghana.org,sí,no,sí,sí,no,no,no,sí,no,no
Centre d'Acollida Assís,932044586,info@assis.cat,Isaac Albèniz 14 - 28 baixos,8017,Barcelona,http://www.assis.cat/,no,no,sí,sí,no,sí,no,no,no,no
Centre d'Estudis Africans i Interculturals - C.E.A,93 412 39 37,centredestudisafricans@gmail.com,Ronda Sant Pere 23 1er 4ª,8010,Barcelona,www.centredestudisafricans.org,no,no,sí,sí,no,no,sí,sí,no,no
Centre Peruano en Barcelona,606393904,centroperuanobcn@gmail.com,Avinguda Diagonal 441 5è E,8025,Barcelona,,sí,no,no,no,no,sí,sí,no,no,no
Centre Social de Sants,93 331 10 07,csocialsants@gmail.com;,Olzinelles 30,8014,Barcelona,www.centresocialdesants.org,sí,no,sí,sí,sí,no,no,no,no,no
Centre social Maria Inmaculada,93 487 78 86,,Consell de Cent 393 baixos,8009,Barcelona,http://www.residenciainmaculada.com/,sí,sí,no,no,no,no,sí,no,no,no
Centro Filipino Tuluyan,93 329 07 02 / 93 254 03 45,centro.filipino@yahoo.com,Riera Baixa 4-6 1a,8001,Barcelona,,no,no,sí,sí,no,no,sí,no,no,no
CITE-CCOO (Centre d'Informació per a Treballadors Estrangers) - SAIER,93 256 27 00,cite@ccoo.cat,Av. Paral·lel 202 local,8003,Barcelona,http://www.ccoo.cat/aspnet/immigracio.aspx,sí,sí,sí,no,no,no,no,no,no,sí
CNL de Barcelona,93 412 55 00,barcelona@cpnl.cat,C/ d'en Quintana 11 3r 1a,8002,Barcelona,www.cpnl.cat,no,no,sí,sí,no,no,no,no,no,no
CNL de Barcelona. Acolliment lingüístic,93 481 68 28,acollida@cpnl.cat,Plaça Catalunya 9 2n 1a,8002,,www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de Ciutat Vella,93 412 72 24,cvella@cpnl.cat,C/ Carabassa 15,8002,,www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de l'Eixample,93 451 24 45,eixample@cpnl.cat,C/ Calàbria 66 2,8036,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de Les Corts,93 411 96 05,lescorts@cpnl.cat,Dolors Masferrer i Bosch 29,8028,Barcelona,www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de Nou Barris,93 359 06 00,noubarris@cpnl.cat,C/ Rosselló i Porcel 12,8016,Barcelona,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de Sant Andreu (Recinte Fabra i Coats),93 274 03 56,santandreu@cpnl.cat,Sant Adrià 20,8030,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de Sant Martí,93 352 24 14,santmarti@cpnl.cat,"Gran Via de les Corts Catalanes_ Accés per Ciutat Granada, 178 866 2n A",8018,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació de Sants-Montjuïc,93 491 27 97,sants@cpnl.cat,C/ de Guitard 17-23,8014,,www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació deGracia I Sarrià-Sant Gervasi,93 217 87 23,gracia@cpnl.cat,Avinguda del Príncep Astúries 23 2n,8012,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Delegació d´Horta - Guinardó,93 450 49 08,hortaguinardo@cpnl.cat,Marina 343,8025,,www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. Espai Avinyó - Llengua i Cultura,93 342 80 80,acollida@cpnl.cat,C/ Avinyó 52,8002,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL de Barcelona. SAIER,932 562 700,,Avinguda del Paral·lel 202 1r 4,8015,Barcelona,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL-SAFD Bcn 1 Marina - Servei d'Autoapren. i Formació a Distància,93 347 34 52,cacbcn1@cpnl.cat,Marina 343 baixos,8025,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
CNL-SAFD Bcn 2 Mallorca - Servei d'Autoapren. i Formació a Distància,93 453 92 83,cacbcn2@cpnl.cat,C/ Calàbria 66 2n,8036,,http://www.cpnl.cat,no,no,no,sí,no,no,no,no,no,no
Comissió Catalana d'Ajuda al Refugiat (CEAR),93 301 25 39,ccar@cear.es,Junta de Comerç 26 baixos,8001,Barcelona,www.cear.es,sí,sí,sí,sí,si,sí,no,no,no,no
Comunitat Sant Egidi,93 441 81 23,info@santegidio.es,Hospital 140 1r i 3r,8001,Barcelona,www.santegidio.org,no,no,sí,sí,no,sí,no,no,no,no
Coordinadora d'Associacions Senegaleses de Catalunya,608 482 915,casc@catsen.org / cordinadorasen@yahoo.es,COMERÇ 42 bx.,8003,,www.catsen.org,si,no,no,no,no,no,no,no,no,no
Coordinadora d'Entitats del Poble Sec (Poble Sec per a Tothom),93 324 85 38,sociolaboralps@gmail.com,Concòrdia 33 baixos,8004,Barcelona,http://www.poblesec.entitatsbcn.net,sí,sí,sí,sí,no,no,sí,no,sí,sí
Dincat,93 490 16 88,info@dincat.cat,Joan Güell 90-92,8028,Barcelona,www.dincat.cat,no,no,sí,no,no,no,no,no,no,sí
Dones Juristes,933 220 617,info@donesjuristes.cat,Ripoll 25 Baixos,8002,Barcelona,www.donesjuristes.cat,sí,no,no,no,no,no,sí,no,no,no
El Moviment Per La Pau- MPDL Catalunya,93 305 71 73,Catalunya@mpdl.org,"Pere Vergès 1 Planta 9, Porta 10",8020,Barcelona,www.mpdl.org,sí,no,sí,no,no,sí,sí,no,no,sí
Escola de Persones Adultes La Verneda-Sant Martí (Assoc. Àgora i Assoc. Heura),93 256 57 79,escola@edaverneda.org,Selva de Mar 215 5è,8020,Barcelona,www.edaverneda.org,no,no,no,sí,no,no,no,no,sí,sí
Espai d'Inclusió i Formació Casc Antic (EICA),93 268 49 43,gestio@eicascantic.org,Comerç 42 baixos,8003,Barcelona,https://eicablog.wordpress.com/,sí,no,sí,sí,no,no,no,no,no,sí
FASAMCAT - Federación de Asociaciones Americanas en Catalunya,93 238 55 27,info@fasamcat.org,Rocafort 242 bis 3r,8029,Barcelona,www.fasamcat.org,sí,sí,sí,sí,no,no,sí,sí,no,no
Fedelatina (Federación de Entidades Latinoamericanas de Catalunya),93 192 41 14,administracion@fedelatina.org,Nou de Sant Francesc 15 local,8002,Barcelona,www.fedelatina.org,no,sí,sí,sí,no,sí,no,sí,sí,sí
Federació Catalana de Famílies Monoparentals,93 441 46 77 / 649829934,info@familiesmonoparentals.org,Erasme de janee 8 baixos,8001,Barcelona,www.familiesmonoparentals.org,si,no,no,si,no,si,si,no,si,refuerzo escolar
Fundació ACSAR (Associació Catalana de Solidaritat i Ajuda als Refugiats),93 304 30 23,facsar@fundacioacsar.org,Via Laietana 16 1r Despatx 123,8003,Barcelona,www.fundacioacsar.org,sí,no,no,no,no,no,no,no,no,sí
Fundació Adsis,933577575,,Lugo 61 baixos,8032,Barcelona,www.fundacionadsis.org,sí,sí,no,no,no,no,no,no,sí,sí
Fundació APIP - ACAM,934420917 - 933171614,fundacioapipacam@fundacioapipacam.org,Paloma 21-23 Baixos,8001,Barcelona,www.fundacioapipacam.org,no,sí,sí,sí,sí,sí,sí,no,no,no
Fundació Babel Punt de Trobada,629 57 74 30,info@babelpuntodeencuentro.org,Travessera de les corts 228 Entresol 3º,8028,Barcelona,www.babelpuntodeencuentro.org,no,no,sí,no,no,sí,no,no,no,sí
Fundació COMTAL,93 319 98 55,comtal@comtal.org;,Forn de la Fonda 5 baixos,8003,Barcelona,http://www.comtal.org/,sí,sí,no,no,sí,no,no,no,sí,no
Fundació FICAT,655827120,Info@ficat.org,Comerç 42 1 FICAT,8003,Barcelona,http://www.ficat.org/,sí,no,sí,no,no,no,no,no,no,si
Fundació Formació i Treball,93 303 41 00,fit@formacioitreball.org,Llull 430-438,8930,Sant Adrià del Besós,www.formacioitreball.org,no,sí,no,no,no,no,no,no,no,no
Fundació Ibn Battuta,933 293 054 / 618 247 416,info@fundacioibnbattuta.org,Sant Pau 82 baixos,8001,Barcelona,www.fundacioibnbattuta.org,sí,sí,sí,sí,no,no,sí,no,no,sí
Fundació Privada Ared,93.351.38.65,ared@fundacioared.org,de Zamora 103-105 Baixos,8018,Barcelona,http://www.fundacioared.org/ca,no,sí,no,no,no,sí,sí,no,no,no
Fundació Privada Bayt Al-Thaqafa,93 319 88 69,bayt@bayt-al-thaqafa.org,Princesa 14 1r,8003,Barcelona,http://www.bayt-al-thaqafa.org/,sí,sí,sí,sí,sí,sí,sí,no,sí,no
Fundació Privada Benallar,93 268 80 15,info@benallar.org,Sotstinent Navarro 18 baixos 1a,8002,Barcelona,www.benallar.org,no,no,sí,no,si,sí,no,no,no,no
Fundació Privada Claperós,93 246 94 40,mireia@fundacioclaperos.org,Sicília 173 baixos,8013,Barcelona,http://www.fundacioclaperos.org/,no,sí,no,no,no,no,no,no,no,no
Fundació Privada Escó,93 443 06 35,fnesco@fnesco.org,Sant Ramon 2 2n 1a,8001,Barcelona,www.fnesco.org,sí,no,sí,sí,no,sí,sí,no,no,no
Fundació Privada Migra Studium,93 412 09 34,info@migrastudium.org;,Del Palau 3 2a planta,8002,Barcelona,www.migrastudium.org,sí,si,sí,sí,no,no,sí,no,sí,sí
Fundació Privada Putxet,93 211 15 48,putxet18@yahoo.es,Putget 26 1r 1ª,8023,Barcelona,www.fundacionputxet.org,sí,sí,sí,no,si,sí,no,no,no,no
Fundació Privada Servei Solidari per la Inclusió Social,93 441 64 06,serveisolidari@serveisolidari.org,Sant Antoni Abat 61 baixos,8001,Barcelona,www.serveisolidari.org,sí,sí,sí,sí,si,no,no,no,no,sí
Fundació Privada Trinijove,933459224,formacio@trinijove.org,Turó de la Trinitat 17 local,8033,Barcelona,www.trinijove.org,sí,sí,sí,sí,no,sí,no,no,sí,sí
Fundació Privada Viarany - Centre Convivim,93 340 11 99,convivim@fundacioviarany.org,Cardenal Tedeschini 72 baixos,8027,Barcelona,www.convivim.org,sí,no,sí,sí,no,no,no,no,no,no
Fundació Secretariat Gitano,93 274 55 82,fsgbarcelona@gitanos.org,Comtessa Pardo Bazan 4-6,8027,Barcelona,www.gitanos.org,no,sí,sí,no,no,no,sí,sí,no,no
Fundació Tot Raval,93 442 68 68,info@totraval.org,Plaça de les Caramelles 8 baixos,8001,Barcelona,www.totraval.org,no,no,no,no,no,si,si,no,no,no
Fundación CEPAIM,93 487 38 16,barcelona@cepaim.org,Aragó 281 2 2,8009,,www.cepaim.org,sí,sí,sí,no,si,sí,sí,no,no,no
Fundación Social y Cultural Sopeña,93 339 05 44,eduardhemi@gmail.com,Violant d'Hongria 39-49,8028,Barcelona,www.sopenabarcelona,sí,no,no,si,no,no,no,no,no,
Il·lustre Col·legi d'Advocats de Barcelona - SAIER,93 256 38 00,estrangeria@icab.cat,Av. Paral·lel 210,8004,Barcelona,www.icab.cat,sí,no,no,no,no,no,no,no,no,no
Lloc de la Dona - Oblates del Santíssim Redemptor,934412809,info@llocdeladona.org,Av. Drassanes 27 Baixos,8001,Barcelona,www.llocdeladona.org,no,sí,sí,sí,no,sí,sí,no,no,no
Lluïsos de Gràcia,93 218 33 72,info@lluisosdegracia.cat,Plaça del Nord 7,8024,Barcelona,http://lluisosdegracia.cat/,no,no,no,sí,no,no,no,no,no,sí
Metges del Món Catalunya,93 289 27 15,catalunya@medicosdelmundo.org,Erasme de janer 8 Entresol Despatx 2,8024,Barcelona,www.metgesdelmon.org,sí,no,no,no,no,sí,no,sí,no,sí
OBRA MISIONERA EKUMENE (Centre Social Domingo Solà),934420023,ekumenebcn@gmail.com,Aurora 10 Baixos,8001,,www.ekumene.org,no,no,sí,sí,no,sí,sí,sí,no,no
Pla de Desenvolupament Comunitari Sagrada Família,93 265 36 45,pcsagradafamilia@gmail.com,Padilla 210 Baixos,8013,Barcelona,http://placomunitari.avvsagradafamilia.net/,no,no,sí,sí,no,no,sí,sí,no,no
Plataforma per la llengua,,,Sant Honorat 7 Principal 1ª,8002,Barcelona,www.plataforma-llengua.cat,no,no,sí,sí,no,no,no,no,no,no
PROBENS - Associació per a l'Estudi i la Promoció del Benestar Social,93 441 41 05,probens@probens.org,Sant Rafael 10 Local Esquerra,8001,Barcelona,www.probens.org,sí,sí,no,sí,no,no,no,no,no,no
"Ravalnet, xarxa ciutadana del Raval",93 444 58 67,equipeducatiu@ravalnet.org,dels Salvador 6 baixos,8001,Barcelona,www.ravalnet.org,no,sí,sí,no,no,no,no,no,no,no
Red Solidaria Barcelona,93 192 41 14,javierbonomi@fedelatina.org,Nou de Sant Francesc 15 Baixos,8002,Barcelona,www.fedelatina.org,sí,no,sí,no,no,sí,no,no,no,no
"Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta",932918720,info@secretariat.cat,Sants 79,8014,,www.secretariat.cat i http://www.secretariat.cat/taula-intercultural,no,no,no,no,no,no,no,no,no,no
"Servei d'Atenció als Immigrants, Emigrants i Refugiats (SAIER)",93 256 27 00,saierinfo@bcn.cat,Av. Paral·lel 202,8015,Barcelona,http://www.bcn.cat/novaciutadania/arees/ca/acollida/saier.html,sí,sí,sí,sí,sí,sí,no,no,no,sí
Servei de Refugiats i Immigrants Creu Roja Barcelona - SAIER,93 256 38 00,serveiestrangers@creuroja.org,Paral·lel 210,8015,Barcelona,,sí,sí,sí,sí,si,sí,sí,sí,no,no
"SURT, Fundació de Dones.",93 342 83 80,surt@surt.org,Guàrdia 14 baixos,8001,Barcelona,www.surt.org,sí,sí,sí,sí,si,sí,sí,sí,no,sí
USOC - ÀREA IMMIGRACIÓ (UNIÓ SINDICAL OBRERA DE CATALUNYA),93 329 81 11,IMMIGRACIO@USOC.CAT,C/ SANT PACIA 9,8001,,www.usoc.cat/immigracio,sí,sí,sí,sí,no,no,no,no,no,no
VAE (Voluntaris en Assessoria Empresarial),93 354 86 43,administracio@vaecat.org,Marie Curie 8 - 14,8042,Barcelona,www.vaecat.org,no,sí,no,no,no,no,no,no,no,no
Voluntariat per la llengua del Centre de Normalització Lingüística de Barcelona,,,Marina 343,8025,Barcelona,http://www.cpnl.cat/vxlbarcelona,no,no,sí,sí,no,no,no,no,no,sí
Xarxa 9 Barris Acull,93 276 89 96,info@9bacull.org;,Via Favència 288 A,8042,Barcelona,www.9bacull.org,sí,no,sí,sí,sí,sí,no,no,no,sí
XIC- XARXA D'INTERCANVI DE CONEIXEMENTS NOU BARRIS,933548721,xarxa9barris@gmail.com,Romaní 6,8042,Barcelona,http://xarxaintercanvidenoubarris.blogspot.com,no,no,no,sí,no,no,no,no,no,sí
YMCA,932853475,barcelona@ymca.es,Carrer Jaén 7,8012,Barcelona,www.ymca.es,no,si,sí,sí,no,sí,sí,no,no,no
